timestamp,product_sku,region_id,online_views,add_to_cart,online_orders,conversion_rate,device_type,search_term,competitor_price,promotional_campaign_id,cart_abandonment_rate,alert_id
2025-07-13 10:00:00,AF-PRO-2025,Region A,1500,150,30,0.02,mobile,air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.5,
2025-07-13 10:00:00,AF-PRO-2025,Region B,800,80,10,0.0125,desktop,air fryer,62.99,,0.6,"uBz-Y8cwSoehgxz3r0JqvQ,3gssyBcCRMyy9Bo5CyacXA,IyG7lfHbQsS2NOnzzGi4Aw"
2025-07-13 10:00:00,AF-PRO-2025,Region C,1200,120,25,0.0208,tablet,air fryer,60.99,CAMPAIGN_HOME_TECH,0.55,
2025-07-13 11:00:00,AF-PRO-2025,Region A,1600,165,35,0.0218,desktop,smart air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.48,
2025-07-13 11:00:00,AF-PRO-2025,Region B,850,85,11,0.0129,mobile,air fryer deals,62.99,,0.58,"Yo-UiyUvSuWyx2heju-zng,lRRoLoj_QS2xdfFDP_ZZ7Q,vWLxfmkUQ_qHPU3lkLw8Rw"
2025-07-13 11:00:00,AF-PRO-2025,Region C,1250,125,28,0.0224,mobile,kitchen appliances,60.99,CAMPAIGN_HOME_TECH,0.52,
2025-07-13 12:00:00,AF-PRO-2025,Region A,1800,190,40,0.0222,mobile,best air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.45,
2025-07-13 12:00:00,AF-PRO-2025,Region B,900,92,13,0.0144,desktop,air fryer reviews,62.99,,0.56,"ycoPT_JAQheLWZn26tszyg,mZlEmVAzR3GEjX3gDobbbg"
2025-07-13 12:00:00,AF-PRO-2025,Region C,1300,130,30,0.023,tablet,cooking gadgets,60.99,CAMPAIGN_HOME_TECH,0.5,
2025-07-13 13:00:00,AF-PRO-2025,Region A,2000,220,50,0.025,mobile,air fryer sale,59.99,CAMPAIGN_SUMMER_SALE,0.42,
2025-07-13 13:00:00,AF-PRO-2025,Region B,950,95,15,0.0158,desktop,home appliances,62.99,,0.54,_IeRv9uzSmuyb04rXOGOOw
2025-07-13 13:00:00,AF-PRO-2025,Region C,1400,145,33,0.0236,mobile,kitchen tech,60.99,CAMPAIGN_HOME_TECH,0.49,
2025-07-13 14:00:00,AF-PRO-2025,Region A,2500,300,75,0.03,mobile,air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.4,
2025-07-13 14:00:00,AF-PRO-2025,Region B,900,90,12,0.0133,desktop,air fryer,62.99,,0.57,"sl6KnKoATeijrpv1JStVWQ,jkGEwkOfRt6yAadxGO2u9w"
2025-07-13 14:00:00,AF-PRO-2025,Region C,1350,140,32,0.0237,tablet,air fryer,60.99,CAMPAIGN_HOME_TECH,0.51,
2025-07-13 15:00:00,AF-PRO-2025,Region A,2300,280,70,0.0304,desktop,smart air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.41,
2025-07-13 15:00:00,AF-PRO-2025,Region B,880,88,11,0.0125,mobile,air fryer deals,62.99,,0.59,"KtNF66bVR0qQNf5c1gL8lw,3_0ZDBWaRX60vs0pjyAJdQ,8SvqsE7LQCewpcCFN0p0XA"
2025-07-13 15:00:00,AF-PRO-2025,Region C,1300,135,30,0.023,mobile,kitchen appliances,60.99,CAMPAIGN_HOME_TECH,0.53,
2025-07-14 09:00:00,AF-PRO-2025,Region A,1800,180,40,0.0222,mobile,air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.5,
2025-07-14 09:00:00,AF-PRO-2025,Region B,750,70,9,0.012,desktop,air fryer,62.99,,0.6,"84SIfB9eTOaojQNQbFXRQA,EDTdX9KnQNefGQDjWUcOwA,2y6YNDd0QHyZ8gfHxOrxTg,e63qLPGNRT-bUqSUHVCIVQ"
2025-07-14 09:00:00,AF-PRO-2025,Region C,1300,135,30,0.023,desktop,air fryer,60.99,CAMPAIGN_HOME_TECH,0.55,
2025-07-14 10:00:00,AF-PRO-2025,Region A,1900,195,45,0.0237,mobile,smart air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.48,
2025-07-14 10:00:00,AF-PRO-2025,Region B,800,75,10,0.0125,desktop,air fryer deals,62.99,,0.58,"cYFjY3GHR6O6pUTf16HXpA,-_LuQPzQSPunHF802f-S0Q,_h0ekr8oSVaDbl6eVwAfkg,2zzhgskRS1mgCkni85k-IQ"
2025-07-14 10:00:00,AF-PRO-2025,Region C,1350,140,32,0.0237,tablet,kitchen appliances,60.99,CAMPAIGN_HOME_TECH,0.52,
2025-07-14 11:00:00,AF-PRO-2025,Region A,2100,210,50,0.0238,mobile,best air fryer,59.99,CAMPAIGN_SUMMER_SALE,0.45,
2025-07-14 11:00:00,AF-PRO-2025,Region B,820,80,11,0.0134,desktop,air fryer reviews,62.99,,0.56,"ilXd__oJR8KUuPeuNlbiHQ,hiS5aIwVQWSkLIqARxKAQQ,pH-AEIGMQnieckjMbZIR4g"
2025-07-14 11:00:00,AF-PRO-2025,Region C,1400,145,35,0.025,mobile,cooking gadgets,60.99,CAMPAIGN_HOME_TECH,0.5,
2025-07-14 12:00:00,AF-PRO-2025,Region A,2200,230,55,0.025,desktop,air fryer sale,59.99,CAMPAIGN_SUMMER_SALE,0.42,
2025-07-14 12:00:00,AF-PRO-2025,Region B,850,82,12,0.0141,mobile,home appliances,62.99,,0.54,"lW7IuRhYQ-qtzRMyDtUiow,J6kbL5gQRHWWV9uvMHj0WQ"
2025-07-14 12:00:00,AF-PRO-2025,Region C,1450,150,38,0.0262,tablet,kitchen tech,60.99,CAMPAIGN_HOME_TECH,0.49,
2025-07-14 13:00:00,BLENDER-ULTRA,Region A,500,50,8,0.016,mobile,blender,49.99,CAMPAIGN_KITCHEN_UPGRADE,0.55,"QQpaLkmdRbKcXIifE9nLbw,PPQKLLvRSemdVQpOKIDV9Q,ZVIcZKviRBSzxJmLXBmBsA"
2025-07-14 13:00:00,COFFEE-MAKER-PRO,Region B,600,60,10,0.0166,desktop,coffee maker,79.99,,0.52,"VJfh7MEFQLma6t4rInH-kA,Z-B2y5wjQQyg6I7DpDqONA,lvPhyPtcRhCQfHqKKHUIHg"
2025-07-14 14:00:00,VACUUM-ROBOT,Region C,300,30,5,0.0166,mobile,robot vacuum,199.99,CAMPAIGN_HOME_CLEAN,0.6,"njg6--vEQN2bBPE1wKgu8w,95dtF9FPR82VB8emi3HqvQ,PGQO-Ls2SFOCBICKGnY-pw,jdmVreQmSpGuyL879Wecjw"
2025-07-14 14:00:00,SMART-SPEAKER,Region A,400,45,7,0.0175,desktop,smart speaker,39.99,CAMPAIGN_SMART_HOME,0.5,"wz5tjYrfTGOnOwVz_qtSBQ,NUrxS2kRSU-8dCXBorFKlg,dsWIt7wwTwegRei25v6zCQ"
2025-07-15 09:00:00,FITNESS-TRACKER,Region B,700,70,12,0.0171,mobile,fitness tracker,29.99,CAMPAIGN_WELLNESS,0.45,"kqjAe50IRTOZJarduHLpBA,qY7YRFy0Tse8szVRtePhdQ,jR5v3WEPSV6kDeLzkywUTw"
