Full Address,City & State,Opening Times,Latitude,Longitude,Country,State,Geocoding_Status,Temperature_C,Feels_Like_C,Humidity_Percent,Wind_Speed_MPS,Weather_Description,Weather_Fetch_Status
"Best Price Modern Wholesale, Wal-Mart India Private Limited, Khasra No 425, 426 & 428, Toposherkhania Akhnoor Road Jammu (J&K), India",Jammu & Kashmir,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Plot No. 75/26 - 75/14, AIPL Ambuja Dream City Manawala, GT Jalandhar Highway Road, Amritsar, Punjab,Amritsar",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Khasra No. 193-195 Adjoining Ioc Petrol Pump, Near Toyota Showroom Paragpur, G.T Road, Jalandhar, Punjab,Jalandhar",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Aeren Business Complex, Opp. Old Chungi Naka, Jalandhar G.T Road, Ludhiana, Punjab,Ludhiana",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Pvt.Ltd., Khewat/Khatauni, No.180/193 & 318/347, VIII, Mundia Khurd, Near Fortis Hospital, Ludhiana, Punjab,Ludhiana",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Khasra No. 444, 437, 438 N.H. 22, Chandigarh Ambala Road, Opp: Bristol Hotel, Zirakpur, Punjab,Zirakpur",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Near Adesh Hospital, 12 Canal Irrigated, Village Bucho Kalan, Hadbast No 201, Tehsil Nathana, Bathinda, Punjab,Bathinda",Punjab,7:00 AM - 8:30 PM,30.8651799,74.7348447,IN,Punjab,Success,34.14,38.03,48,2.19,broken clouds,Success
"Best Price Modern Wholesale Walmart India Pvt Ltd Khasra No. 814-817, Village – Chalesar Tehsil – Itmadpur Kanpur Road, Agra, Uttar Pradesh,Agra",Uttar Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. E-Commercial Belt, Sushant Golf City, Shaheed Path, Sultanpur Road, Lucknow, Uttar Pradesh,Lucknow",Uttar Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Khata No-344, Khasra No - 165, Village Naglatashi Kasampur, Meerut, Uttar Pradesh,Meerut",Uttar Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited, Site A, A-1, UPSIDC, Industrial Area, Mathura Road, Agra (UP),Agra",Uttar Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. A-82, Indraprastha Industrial Area, Jhalawar Road, Kota, Rajasthan,Kota",Rajasthan,7:00 AM - 8:30 PM,28.7248312,77.1605657016823,IN,Delhi,Success,30.14,31.59,52,2.57,overcast clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Opp. Bhopal Memorial Hospital Raisen Bypass Road, Bhopal, Madhya Pradesh,Bhopal",Madhya Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Khasra No. 31-32, Besides Scope College Campus, Hoshangabad Road, Misrod, Bhopal, Madhya Pradesh,Bhopal",Madhya Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Near MR 10, Dewas Byepass Road, Opp. Malwa Institute Of Technology, Indore, Madhya Pradesh,Indore",Madhya Pradesh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited, Near IPS Academy, Rau, Indore, Madhya Pradesh, India,Indore",Madhya Pradesh,7:00 AM – 9:00 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Ring Road No. 2, Bhilai-Bilaspur Bypass, Bhanpuri, Raipur, Chhattisgarh,Raipur",Chhattisgarh,7:00 AM - 8:30 PM,,,,,Not Found,,,,,,Skipped (No Coordinates from Geocoding)
"Best Price Modern Wholesale, Wal-Mart India Private Limited. Survey No. 64/2, Opp Mohini Hotel, Beside Hyundai Showroom, Badnera Road, Amravati, Maharashtra,Amravati",Maharashtra,7:00 AM - 8:30 PM,20.0127402,73.8032765,IN,Maharashtra,Success,25.96,25.96,72,7.67,overcast clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. S No.54/3, Near Mahanubhav Ashram, Opp. Krishi Vigyan Kendra Paithan Road, Aurangabad, Maharashtra,Aurangabad",Maharashtra,7:00 AM - 8:30 PM,20.0127402,73.8032765,IN,Maharashtra,Success,25.96,25.96,72,7.67,overcast clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited. S.No:2,3,4&5, Opp: Indian Oil Pump, Pillar No: 267, Shivarampally, Rajendernagar, Rangareddy Dist., Hyderabad, Telangana,Hyderabad",Telangana,7:00 AM - 8:30 PM,17.3110911,78.4425854,IN,Telangana,Success,30.5,31.99,51,3.99,overcast clouds,Success
"Best Price Modern Wholesale, Wal-Mart India Private Limited, Survey No. 236, Beside Paramita Residential School, Padmanagar Gram Panchayat, Chintakunta Village, Karimnagar, Telangana,Karimnagar",Telangana,9:00 AM – 9:00 PM,17.3110911,78.4425854,IN,Telangana,Success,30.5,31.99,51,3.99,overcast clouds,Success
